referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE04OSPS-PC01B-4D-PCO2WA105,2019,6,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4D-PCO2WA105,2020,7,44.37421,-124.95648,197,580
CE04OSPS-SF01B-2A-CTDPFA107,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-CTDPFA107,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-CTDPFA107,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-CTDPFA107,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-CTDPFA107,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2A-CTDPFA107,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2A-CTDPFA107,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2A-DOFSTA107,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-2B-PHSENA108,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3A-FLORTD104,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3B-OPTAAD105,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3C-PARADA102,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-3D-SPKIRA102,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4A-NUTNRA102,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4B-VELPTD106,2020,7,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2014,1,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2015,2,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2016,3,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2017,4,44.37416,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2018,5,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2019,6,44.37421,-124.95648,N/A,580
CE04OSPS-SF01B-4F-PCO2WA102,2020,7,44.37421,-124.95648,N/A,580
RS01SBPD-DP01A-00-ENG000000,2014,1,44.52747,-125.38067,N/A,2901
RS01SBPD-DP01A-00-ENG000000,2015,2,44.52764,-125.38087,N/A,2900
RS01SBPD-DP01A-00-ENG000000,2016,3,44.52750,-125.38063,N/A,2903
RS01SBPD-DP01A-00-ENG000000,2018,4,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-00-ENG000000,2019,5,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-00-ENG000000,2020,6,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-01-CTDPFL104,2014,1,44.52747,-125.38067,N/A,2901
RS01SBPD-DP01A-01-CTDPFL104,2015,2,44.52764,-125.38087,N/A,2900
RS01SBPD-DP01A-01-CTDPFL104,2016,3,44.52750,-125.38063,N/A,2903
RS01SBPD-DP01A-01-CTDPFL104,2018,4,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-01-CTDPFL104,2019,5,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-01-CTDPFL104,2020,6,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-02-VEL3DA103,2014,1,44.52747,-125.38067,N/A,2901
RS01SBPD-DP01A-02-VEL3DA103,2015,2,44.52764,-125.38087,N/A,2900
RS01SBPD-DP01A-02-VEL3DA103,2016,3,44.52750,-125.38063,N/A,2903
RS01SBPD-DP01A-02-VEL3DA103,2018,4,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-02-VEL3DA103,2019,5,44.52746,-125.38033,N/A,2903
RS01SBPD-DP01A-02-VEL3DA103,2020,6,44.52746,-125.38033,N/A,2903
